Event,Platform,Name,Username,Comments,Date,Hour,Replies,Retweet,Likes,Location,Verified,Blue Verified,Sentiment,Emotion,Most Common Keyword
Xbox Games Showcase,Twitter,RedRumForever,@RedRumForever,@Xbox The showcase was out of this world.,2024-06-09 22:13:57,2024-06-09 22:13:57,0,0,0,Unknown,FALSE,FALSE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,rekhan,@Biryani_Bro,@Xbox Can you guys release a ps5 version of fallout 76 with 4K/120 hz support,2024-06-09 20:51:50,2024-06-09 20:51:50,3,0,2,Unknown,FALSE,TRUE,Positive,Happy,Fallout
Xbox Games Showcase,Twitter,RetroGaming (RUL3R),@RetroLan,@Xbox IN LOVE with this Doomslayer design jesus. https://t.co/GdCWyHgoMy,2024-06-09 22:04:59,2024-06-09 22:04:59,1,0,1,United States,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,RG | Sergeant Sentinel Gaming ???,@SSGSentinel,"@Xbox Well done, Xbox. ",2024-06-09 22:13:57,2024-06-09 22:13:57,0,0,0,Unknown,FALSE,FALSE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Rich,@richXphoto,@Xbox “Wake me when you need me”,2024-06-09 20:24:59,2024-06-09 20:24:59,0,0,5,United States,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,rickymakesbadvideos,@rickymakescrap,@Xbox When is the CoD back catalogue coming to GamePass?,2024-06-09 22:56:37,2024-06-09 22:56:37,0,0,0,England,FALSE,TRUE,Positive,Surprise,Call  of Duty
Xbox Games Showcase,Twitter,Roller Stoner,@Rollerdiestwice,@Xbox https://t.co/UADTas1XB5,2024-06-09 21:42:50,2024-06-09 21:42:50,0,0,0,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Royalty,@Royaltyboxing19,@Xbox Pretty mid list icl,2024-06-10 22:28:05,2024-06-10 22:28:05,2,0,1,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,S.T.A.L.K.E.R. OFFICIAL,@stalker_thegame,@Xbox Great company for a great evening.,2024-06-10 01:36:02,2024-06-10 01:36:02,8,15,747,Ukraine,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Sean Petty,@seildor,@Xbox My jaw dropped when the doom trailer started and I didn’t pick it up until the gears reveal. Well done! https://t.co/9RS94SsR5v,2024-06-09 21:32:29,2024-06-09 21:32:29,2,0,85,Unknown,FALSE,FALSE,Positive,Surprise,Doom
Xbox Games Showcase,Twitter,Sheikh 305,@gh0str3con,@Xbox https://t.co/WshqgTuNyq,2024-06-09 21:21:17,2024-06-09 21:21:17,0,0,2,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,Toasted,@ToastedShoes,@Xbox Ya’ll cooked,2024-06-09 20:39:42,2024-06-09 20:39:42,3,0,12,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,TrejoF,@that_racerguy,@Xbox W showcase ?? https://t.co/cna5Fbvl7b,2024-06-09 21:24:41,2024-06-09 21:24:41,5,31,604,Unknown,FALSE,FALSE,Positive,Happy,W
Xbox Games Showcase,Twitter,unknown,unknown,"You did yourself proud today. https://t.co/4LIvKaIYGc""",2024-06-09 20:25:09,2024-06-09 20:25:09,1,1,92,Unknown,FALSE,TRUE,Positive,Happy,
Xbox Games Showcase,Twitter,unknown,unknown,"nice one  “And one more thing”""",2024-06-09 22:13:57,2024-06-09 22:13:57,79,235,2792,United States,FALSE,TRUE,Positive,Happy,
Xbox Games Showcase,Twitter,Video Game History,@VideoGameHstry,@Xbox Absolute banger ?,2024-06-09 21:01:59,2024-06-09 21:01:59,2,0,59,United States,FALSE,TRUE,Negative,Fear,Banger
Xbox Games Showcase,Twitter,Walmart Canada Gaming,@WalmartCAGaming,@Xbox The teams absolutely cooked. ?,2024-06-09 20:25:16,2024-06-09 20:25:16,5,6,554,Canada,FALSE,FALSE,Negative,Fear,Cooked
Xbox Games Showcase,Twitter,zaiire ?,@_zaiire_,@Xbox Xbox showcase https://t.co/I4tvJRkR4q,2024-06-09 20:44:51,2024-06-09 20:44:51,1,4,59,Unknown,FALSE,TRUE,Positive,Happy,Showcase
Xbox Games Showcase,Twitter,Zom,@ZomForShort,@Xbox Amazing showcase!,2024-06-09 22:43:06,2024-06-09 22:43:06,2,0,4,Unknown,FALSE,FALSE,Positive,Surprise,Showcase
Xbox Games Showcase,Twitter,??d. ??d? i? ® ?,@Tedlaveee,@Xbox Oh life is strange ?!,2024-06-09 21:17:34,2024-06-09 21:17:34,0,0,1,United States,FALSE,TRUE,Negative,Fear,Life is Strange
Xbox Games Showcase,Twitter,?,@MshariAFC,@Xbox 10/10. Well done https://t.co/0lxoOz06ZD,2024-06-09 20:35:39,2024-06-09 20:35:39,0,0,0,Unknown,FALSE,TRUE,Positive,Happy,Xbox
Xbox Games Showcase,Twitter,????,@x2dar7k,@Xbox Thanks Xbox ?,2024-06-11 00:08:35,2024-06-11 00:08:35,2,0,4,German,FALSE,FALSE,Positive,Happy,Xbox
