User,Comments,Likes,Date
@Abi-chanFictionFan,"So nobody is gonna talk about that Alien game on VR ? The Alien franchise has so much potential for horror games, why do you go full VR on this one ??? It could have been the next Alien Isolation...",20,2 weeks ago
@KanaGamez,astro bot looks incredible. at least they ended with that after starting with concord lol,1,11 days ago
@NotRot_,"Bring back single player experiences with compelling, gritty and morally challenging stories   Provide entertainment for the sake of entertainment",0,2 weeks ago
@stratix,Wow.  Guess the PS5 will be collecting dust for a while.,19,2 weeks ago
@stuartdoig15,"Absolutely gutted that Concord isn't a 3rd person ""Guardians of The Galaxy"" style game. I loved that Guardians game, and the cinematic here gave so much personality to the characters. It feels such a shame to have them as part of a PvP game and not play with them as they travel to weird planets doing daft things. Ach well.",17,2 weeks ago
@cikame,That moment when you give up and start making peace with the idea that video games aren't for you anymore.,0,2 weeks ago
@jacobmacdonald1684,Every game was basically the same and all looked like games I would never play in a million years,32,2 weeks ago
@Jimmy_Drone,Concord and Marvel Rivals....Did we need 2 more overwatch clones?,68,2 weeks ago
@KaganGokasan,I swear if the astro bot game is either not free or so expensive im gonna freak out.,1,2 weeks ago
@jaysam9117,You need to add more buttons to the controller's it gets a bit boring after a while,106,2 weeks ago
@Malikah,"Honestly, I am disappointed :(",15,2 weeks ago
@player1-jay,Not showing the wolverine game is kinda insane,0,2 weeks ago
@napynap,"My favorites that I could see buying were Path of Exile 2, Monster Hunter Wilds, and Astro Bot.",2,2 weeks ago
@jonathanbates3462,Are they not gonna announce a PlayStation handheld,11,2 weeks ago
@Solo_Sessums,Astro Bot looks like so much fun.,18,2 weeks ago
@ZennaliciousD,Can’t wait for Overwatch: Guardians of the Galaxy Edition and Overwatch: Marvel DLC.,1,2 weeks ago
@BadMrMo,SH2 looks still bad. Konami is gonna sink this one too.,24,2 weeks ago
@arshiaat9503,Antara and where winds come look solid,179,2 weeks ago
@Almost_cooking,This is how you don't get my money.,1,2 weeks ago
@shibineru,It's rare that I have 0 interest in everything shown during events like these. Well today is a rarity I guess.,0,2 weeks ago
@Hynet1,Concord would've been a great single player game I think. Especially if it was focused on building bonds and losing comrades along the way... oh well 5v5 nobody will play.,10,2 weeks ago
@slimshady102414,"Concord, guardians of the galaxy from wish",0,2 weeks ago
@ZakMilz,crazy how concord was the entire stream,0,2 weeks ago
@TheStupidRaptor,"Can Sony just sell Sly Cooper and Jak and Daxter to other developers? Since they never want to make games for those IP's ever again, even though everyone wants them to?",53,2 weeks ago
@user-jk4sd1tm7t,"In fact, it's amazing how people who have made it to the top of the hierarchy in the gaming industry have not even the slightest idea of ​​what their audience wants and probably don't play video games, if they ever played them at all.  How many more life service cloned garbage dumps must fail before it becomes clear that this is just a waste of resources?",0,2 weeks ago
@EvlutnTrnrDaisy,Had skipped this until I heard that Infinity Nikki got a trailer. Best thing in the State of Play. Astrobot is cute though! <3,0,11 days ago
@anarfox,No VR for Astro Bot is a huge disappointment.,20,2 weeks ago
@Archangel0582,I was expecting nothing and was still disappointed...,0,2 weeks ago
@tpmgaming999,Astrobot looks awesome,75,2 weeks ago
@everx7,"Concord looked really interesting until devs opened up with 5v5, i was like no thanks",0,2 weeks ago
@FadiMARc,Worst state of play yet ,1,2 weeks ago
@solkannar7462,"well, i see no reason to turn my ps5 on any soon.",10,2 weeks ago
@Mrkarate9,"Xbox showcase was way better than this, and that's still an understatement.",23,10 days ago
@divineoblivionx,Learned GOW Ragnarok on PC will require a PS Account. You didn't learn from what happened with Helldivers II apparently.,1,2 weeks ago
@Floink-he5qm,Astrobot saved this state of play,16,2 weeks ago
@ath-har7611,The scariest part of that silent hill trailer is the voice acting. Hope it is better in the final release.,11,2 weeks ago
@Ongomar,I'm only hyped for Astro Bot,1,2 weeks ago
@Elayzee,"You guys really REALLY thought ""Concord"" was something remarkably special that your base was just ITCHINg to play. Someone didn't read their audience before green lighting this cringe.",10,10 days ago
@jlruiz9237,That Concord cinematic was so bad I’m never touching that game.,31,2 weeks ago
@HeisenbergFam,You know its state of play video when they show live service games,1,2 weeks ago
@mitchhahn933,You’d have to pay me an insane amount of money to even think about trying concord.,37,2 weeks ago
